Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	gene_name	gene_biotype
ENSG00000168646	873.710900257117	-2.28852287948251	0.10345726557846	-22.1204655534505	2.00845140788987e-108	3.07052051238203e-104	AXIN2	protein_coding
ENSG00000137962	373.219240143601	2.26716371933656	0.114833516493781	19.7430487941152	9.20524267240935e-87	7.0364874987897e-83	ARHGAP29	protein_coding
ENSG00000169218	148.455876328909	-3.56630502046037	0.183009409370723	-19.4870036066621	1.41529454965657e-84	7.21234102504987e-81	RSPO1	protein_coding
ENSG00000178573	656.797426985004	-2.27550166185766	0.129886701853908	-17.519127280767	1.02383901469751e-68	3.91311271417387e-65	MAF	protein_coding
ENSG00000175832	117.665719655333	3.58421749920251	0.226351003928965	15.8347762412723	1.79095108443421e-56	5.47601203576604e-53	ETV4	protein_coding
ENSG00000104369	89.5285211591561	2.4175917187503	0.154919539028994	15.6054667726441	6.68192381525659e-55	1.70255418812738e-51	JPH1	protein_coding
ENSG00000060982	3581.73842533444	1.42614690678413	0.092113688862006	15.4824643807352	4.55677364881869e-54	9.95199364902001e-51	BCAT1	protein_coding
ENSG00000154856	280.050637728253	-2.46592226922101	0.162239392310158	-15.1992819629577	3.57518316513879e-52	6.83217502858022e-49	APCDD1	protein_coding
ENSG00000253305	462.776469550262	-1.1105542562083	0.0777648018539157	-14.2809372586651	2.87705805843734e-46	4.88716262193222e-43	PCDHGB6	protein_coding
ENSG00000166145	185.491232705919	2.91830803195021	0.229605785687763	12.7100805548461	5.19808672885048e-37	5.67631070790473e-34	SPINT1	protein_coding
ENSG00000196517	116.565028135614	2.18924923689339	0.177735590954221	12.3174498992566	7.29652398811203e-35	7.43661724868379e-32	SLC6A9	protein_coding
ENSG00000179256	79.0044453189084	-2.49313167104336	0.20415015815561	-12.2122446221325	2.67408439052833e-34	2.55508763514982e-31	SMCO3	protein_coding
ENSG00000203727	213.301110595157	-3.19306917497864	0.264213882961527	-12.0851680433598	1.26511242675112e-33	9.21001846674817e-31	SAMD5	protein_coding
ENSG00000158747	121.619331537326	2.24199175842502	0.185989875831842	12.0543752631571	1.83921742913391e-33	1.2780889116636e-30	NBL1	protein_coding
ENSG00000058085	74.468781417716	2.17248308948079	0.186021243175632	11.678682780491	1.63814340486309e-31	9.63228322059495e-29	LAMC2	protein_coding
ENSG00000163584	174.954429899349	1.27182738138199	0.11061698908949	11.497577287636	1.35670195133778e-30	7.68194793779704e-28	RPL22L1	protein_coding
ENSG00000154188	65.1501488176061	-1.95979136847263	0.171890954493892	-11.4013641627796	4.11618115127957e-30	2.13682099437281e-27	ANGPT1	protein_coding
ENSG00000137502	171.520426033902	-1.15355728146658	0.101278282003729	-11.3899767911161	4.69114648948486e-30	2.3134918558466e-27	RAB30	protein_coding
ENSG00000127578	211.107185372213	-1.77920822308845	0.160891018003432	-11.0584683046166	1.99474779557938e-28	8.71638406141189e-26	WFIKKN1	protein_coding
ENSG00000159399	468.095203668781	1.43946811984497	0.130169254579786	11.0584340710245	1.99550917156866e-28	8.71638406141189e-26	HK2	protein_coding
ENSG00000120254	562.480339877975	1.73532664858459	0.15863900733212	10.9388395563493	7.5155693540608e-28	3.19161178569115e-25	MTHFD1L	protein_coding
ENSG00000168743	35.2525793042342	4.11263787454625	0.376871120522568	10.9125843042674	1.00361994537968e-27	4.14684911485529e-25	NPNT	protein_coding
ENSG00000159166	32.0267803408703	4.35484650494465	0.403024689538343	10.8054087453874	3.24508497551013e-27	1.24027147763997e-24	LAD1	protein_coding
ENSG00000183421	30.1916343833015	3.09863020347575	0.291937940099905	10.6140031076994	2.5651790160074e-26	8.91283109016388e-24	RIPK4	protein_coding
ENSG00000081923	46.901349506994	2.24172905695423	0.211439943097659	10.6022023280569	2.91044396734284e-26	9.88774830505275e-24	ATP8B1	protein_coding
ENSG00000196109	57.1343662372519	-6.88949166938128	0.651756326655962	-10.5706556079478	4.07634893767006e-26	1.32594090551276e-23	ZNF676	protein_coding
ENSG00000183044	172.976630231168	-2.12543076239286	0.201503254159291	-10.547873141109	5.19599594947554e-26	1.65492470990796e-23	ABAT	protein_coding
ENSG00000181885	90.3129237671493	4.3672069625983	0.418799338116974	10.4279223129491	1.84886759343615e-25	5.65309755369037e-23	CLDN7	protein_coding
ENSG00000186462	172.686053022535	-1.08007788320869	0.103990150112407	-10.3863479573901	2.86098937137921e-25	8.57623637444028e-23	NAP1L2	protein_coding
ENSG00000110077	62.694839526003	-7.2554123150569	0.70333251608881	-10.3157640932113	5.98036936739012e-25	1.72505446959736e-22	MS4A6A	protein_coding
ENSG00000135903	1237.94497108224	-2.1313597036198	0.210683015246502	-10.1164287074878	4.67150855041678e-24	1.19030037864619e-21	PAX3	protein_coding
ENSG00000165379	69.6257791464515	-1.77405854048519	0.175871168910313	-10.0872618944717	6.28995528367066e-24	1.50251306838683e-21	LRFN5	protein_coding
ENSG00000112343	83.3179745639585	2.29676169423921	0.228047465129261	10.0714195307427	7.39036251366311e-24	1.71187669861942e-21	TRIM38	protein_coding
ENSG00000160932	713.880480296553	1.56730605213122	0.156425032558789	10.0195347668678	1.25090372265128e-23	2.85430091222281e-21	LY6E	protein_coding
ENSG00000099250	639.897984784907	-1.22256119762526	0.122527239452706	-9.97787270068345	1.9050727699129e-23	4.28305183918064e-21	NRP1	protein_coding
ENSG00000049130	616.365906885708	-1.38519195068455	0.139046641133416	-9.96206696827329	2.23369645058604e-23	4.94909439660281e-21	KITLG	protein_coding
